Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,Result
1,-1,-1,-1,0,1,1,1,1,-1
-1,-1,1,1,0,1,1,1,1,-1
-1,-1,-1,-1,0,1,1,1,1,-1
0,-1,1,1,0,1,1,1,1,-1
0,-1,1,1,0,-1,1,-1,1,1
0,-1,-1,-1,0,1,1,1,1,1
0,-1,-1,-1,0,1,1,1,1,-1
-1,-1,1,1,0,1,1,1,1,-1
1,-1,1,1,0,1,1,1,1,1
1,-1,1,1,0,1,1,1,1,-1
0,-1,-1,-1,0,1,1,1,1,1
-1,-1,-1,-1,0,1,1,1,1,-1
1,-1,1,1,0,-1,1,-1,1,-1
-1,-1,1,1,0,1,1,1,1,-1
1,1,1,1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,-1
-1,-1,-1,-1,0,1,1,1,1,-1
-1,-1,-1,-1,0,1,1,1,1,-1
-1,-1,-1,-1,0,1,1,1,1,1
0,-1,-1,-1,0,-1,-1,-1,-1,1
0,-1,-1,-1,0,-1,1,-1,1,1
-1,-1,-1,-1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
-1,-1,-1,-1,0,1,1,1,1,-1
0,-1,-1,-1,0,1,1,1,1,1
0,-1,1,1,1,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
1,-1,1,1,0,1,1,1,1,1
-1,-1,-1,-1,0,-1,1,-1,-1,1
1,1,-1,-1,0,1,1,1,1,1
1,-1,-1,-1,0,1,1,1,1,1
-1,-1,-1,-1,0,1,1,1,1,-1
0,-1,1,1,0,1,1,1,1,-1
0,-1,1,1,0,-1,1,-1,-1,-1
0,-1,1,1,0,-1,1,-1,1,-1
-1,1,-1,-1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,1
-1,-1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,1,-1,1,-1
0,-1,-1,-1,0,-1,1,-1,1,-1
1,-1,-1,-1,0,1,1,1,1,-1
-1,1,1,1,0,-1,1,-1,1,1
0,1,-1,-1,0,1,1,1,1,1
-1,-1,1,1,0,1,1,1,1,-1
-1,-1,1,1,0,1,1,1,1,-1
1,-1,-1,-1,0,1,1,1,1,1
-1,-1,1,1,0,1,1,1,1,-1
0,1,1,1,0,-1,1,-1,-1,1
1,-1,-1,-1,0,1,1,1,1,1
0,-1,1,1,0,1,1,1,1,-1
0,-1,-1,-1,0,-1,1,-1,1,-1
0,-1,-1,-1,0,-1,1,-1,1,-1
0,-1,1,1,0,1,1,1,1,1
